Id,SalePrice
1461,110641.20231566601
1462,149594.00682912837
1463,147005.00914764847
1464,178434.42391044577
1465,221295.05290891114
1466,167754.28040586668
1467,163753.1828782966
1468,175201.18613025872
1469,187366.57911949581
1470,87391.11192447715
1471,165128.1988687683
1472,96522.97960552387
1473,85307.07331243414
1474,128641.60863545653
1475,115108.85453141294
1476,355080.5692891972
1477,291106.1298928526
1478,324352.98638942605
1479,322255.7307058079
1480,440137.7054723492
1481,319735.65630812664
1482,259791.07085282868
1483,173360.5632995495
1484,178419.35157658276
1485,189893.15940519725
1486,202009.76956671895
1487,311084.0360703978
1488,246341.4574855673
1489,199232.39312176313
1490,212929.8544488654
1491,241032.66083843005
1492,95492.09944564174
1493,262519.1238149083
1494,366055.6689693108
1495,265592.7742060544
1496,234449.36780813732
1497,135319.29837100697
1498,170592.76512004086
1499,140732.8426699799
1500,118898.0710071174
1501,197912.866229794
1502,138505.22461503535
1503,261391.37733539264
1504,241165.0057743981
1505,214310.04588409374
1506,168449.1622912283
1507,220618.13803114393
1508,199871.9274044002
1509,152112.6032683698
1510,128102.09565958264
1511,120240.48100562487
1512,134723.02591307415
1513,149185.87391818268
1514,158686.44177220645
1515,178251.09471221478
1516,177124.87593443738
1517,177768.29584448645
1518,105970.32048374345
1519,222304.59133120533
1520,129650.53169842111
1521,127670.96043495857
1522,181139.6131106713
1523,84496.51127343718
1524,94641.86603607051
1525,112684.1973927673
1526,122578.59451196948
1527,82244.67125613312
1528,129312.78612377122
1529,157306.90583889862
1530,225444.44630029378
1531,158906.04070601962
1532,101644.21514652227
1533,140883.81189005892
1534,142694.29770504078
1535,151216.13003943628
1536,103094.82845881418
1537,38238.549117331626
1538,190524.64079603902
1539,196267.3161768634
1540,169235.64190193475
1541,139201.9511879522
1542,146459.53563900804
1543,188864.13098044414
1544,75403.77432595147
1545,135554.3470414125
1546,159357.19966247026
1547,165126.47693516337
1548,140918.9503348847
1549,120497.56077456358
1550,137773.17718727654
1551,112440.5550165081
1552,121517.76228655316
1553,153281.9661610294
1554,130686.31180143286
1555,155850.70653619757
1556,85740.72606164892
1557,63349.7624496636
1558,102762.53698838572
1559,20994.845044366783
1560,128945.2950228157
1561,100602.00588002428
1562,140482.93857254926
1563,110942.13077949616
1564,121884.708816119
1565,146394.83493067673
1566,233361.7298320979
1567,55619.55922819185
1568,237313.43183303857
1569,125647.34741387167
1570,155723.26412933343
1571,133132.1730537105
1572,139361.80407238123
1573,262390.9229014963
1574,138444.53677918296
1575,220623.11675076257
1576,229520.87307674251
1577,207146.33004814945
1578,143082.24035579362
1579,115186.63710537017
